,sentence,sentiment,1,2,3,4,5,6,7,8,9,10
10,"I'm in my 60s and have had to watch what I eat for the last 12 years or so. Certain foods seem to trigger this. I read an article by a doctor who suggested that exercise might help. Well, one year ago I started doing stomach, leg lift, etc exercises and discovered after a few weeks my bowels were improving. Not as much diarrhea and now it's rare.At about the same time, I started taking probiotics daily - after several months I stopped the daily routine and now take them a few times a week when I remember. I now can eat almost anything. Between both of these things - exercise and probiotics - I have had the healthiest year in a long time.As a young mom and child I was into aerobic type of exercises. As my family grew, I didn't have a lot of time and stopped. I do this first thing in the morning at least four days out of seven - and spend 20 to 30 minutes at it. I feel great and I've not been bothered with a cold since then either. I even lost 10 to 15 pounds. For me that's doing great.",P,exercise,daily routine,pound,food,pound sterling,cold,cold,family,kind,aerobic
11,"I am 46 and was first diagnosed with 'spastic colitis' when I was 15. About five years ago, my father was diagnosed with prostate cancer, and began to take a type of herbal tea called Essiac, which is rumored to work miracles in cancer patients.He suggested we all start to take it. After all, if it can supposedly cure cancer, perhaps it can also prevent it. Two weeks after I began to take the Essiac, I noticed a dramatic improvement in my own condition. There was much less pain and diarrhea. I experimented with going off the Essiac, and my symptoms returned. Essiac is available in health food stores.",N,cancer,prostate cancer,colitis,father,kind,tea,patient,dramatic,condition,pain
12,"I have suffered from severe spasmodic attacks for four years. Now that I'm almost completely over it, I want to share my thoughts with you. So something has obviously changed since those four years ...eval(ez_write_tag([[336,280],'ibstales_com-medrectangle-3','ezslot_0']));I finally give myself some attention. Don't think your problem is not important and that you have to just carry on like that. There is a way out.I did not have good self-esteem and because of that I was always stressed among people and in public. I felt extremely self-conscious among people. So get an image!Anxiety when in small rooms or among a lot of people was a big problem for me. It was normal for me to sit on the floor of every shop I went to!  Try to avoid shopping at busy times or with a group (more relaxing on your own time).eval(ez_write_tag([[336,280],'ibstales_com-medrectangle-4','ezslot_3']));I was especially stressed and conscious when eating my lunch in the university canteen. Relax while eating!Chewing gum (especially with xylitol) is for me also a cause of bloating.I avoid organic bread or products, too natural!I dress according to the weather. Muscles can be tense when too cold or you can dehydrate when too warm.I drink water when I am thirsty (or more if I can) or drink two cups of tea and relax when doing so.I was too afraid to do sports with other people. Now here is the miracle: my cramps disappear during my taibo classes!Never over-eat! But eat! If I don't eat when I feel hungry, I get cramps! (Maybe stomach acid going down in the guts). It is better to eat smaller and more frequent meals (rather go to the canteen two times for two smaller lunches). Always drink something with the food, like a glass of wine or tea (not too much).eval(ez_write_tag([[580,400],'ibstales_com-box-4','ezslot_1']));Onions and beans. Don't eat them!Sleep in on Saturday mornings.Go to the toilet immediately when you feel a need for it. I noticed that if I go even just to let go of some gas, if prevents worse cramps later on. Don't worry about the toilet of your hosts, it is meant for this purpose! Take a spray if you want.Wear clothes you like and that are comfortable.Overall, try to relax, enjoy smaller meals, and make use of the toilet regularly. Create a more comfortable environment around your body. If you have a low self-esteem, work on it with someone.  I hope this information is valuable to you and gives new hope.",P,people,cramp,toilet,meal,tea,lunch,canteen,canteen,acid,stratum
13,"I have suffered with IBS for over 20 years. I do not have a story that is any different from yours. I actually smiled after reading these stories. I too have had so many accidents because of IBS. I truly think I own Walmart's underwear department. I was so embarrassed each time I would have to pull over on a road or run through a store to the bathroom or having to leave a pair of undies somewhere in the trash.I felt like I was the only one who couldn't control my bowels but I see now I am not the only one. I wish I could talk to each and every one of you but since I can't, I just want to say I am so proud that you all spoke up about how you have to live each day with IBS, I am even learning that some symptoms I have go with IBS.I am wondering if any of you ever have an attack that feels like a knife being stabbed through your chest into your back, making you double over in pain for five minutes to 30 minutes. I had my gallbladder removed so I know it isn't from that, I am just wondering if this is another symptom of IBS. I would love to hear from any of you.God bless this site, I think we all know there are many of us out there and maybe we can all support each other. I don't know which section this tale belongs to, I suffer too but yet I feel this is a happy tale for we all have found that there are many of us who suffer from this and can be there to help each other as well.E-mail Robin:[email protected]",NEU,tale,email,toilet,God,pain,trunk,knife,attack,attack,attack
14,"I first started with IBS seven years ago with constipation, massive bloating, and discomfort. It was caused by the stress of my mum's death and my son's diagnosis of autism within a very short space of time.However in January this year my bowel habit completely altered. As we have a strong family history of cancer I was really anxious. I was sent for a colonoscopy (the laxatives - ugh) and waited three weeks for the results. Irritable bowel!Even though I was very relieved I did not have cancer I was gutted to think I am stuck for life with this distressing condition. I went onto IBS Tales after reading about it and discovered one lady used slippery elm tablets, which I tried. It's been a while now and I feel much better - no bloat, no pain, no gurgling and better poops! Whilst there are no miracles for IBS this is the nearest thing I've found.",N,cancer,history,pain,pill,tablet,tablet,lady,tale,condition,result
15,"I just wanted to share with other sufferers that after 35 years of IBS horror I have finally been symptom free for over seven months now. I do still have slow motility and that won't change, but I do not experience urgency, bloating, continual gas, pain and all the fears associated with 
socializing and the work place.I began to use Digestive Advantage IBS found in drug stores...nine bucks for a month's supply. It carries probiotics or healthy bacteria for your intestines. I still cannot believe I can now eat whatever I want without the attacks which always followed. I can't believe I've had this for so long when the remedy was so simple. I can't tell you how many doctors I've been to see.I can also tell you that this has helped a great many others as well from the feedback on the support line, but it doesn't help everyone. Just thought I'd share it since it's cheap and can potentially help to get lives back - and they refund your money if it doesn't work for you.E-mail Joan:[email protected]",P,email,work place,attack,feedback,doctor,doctor,remedy,attack,attack,attack
16,"I want to tell everyone that I actually found a way to control my symptoms with Imodium. It is not just as simple as taking Imodium before I go out, if I am going to a place where I may have trouble getting to a bathroom. I have found that I must take three tablets the night before and then three in the morning of the day that I want to be OK. I also found that the antidote to the Imodium is coffee. Do not drink any coffee.eval(ez_write_tag([[336,280],'ibstales_com-medrectangle-3','ezslot_0']));I have to admit that this is not always effective but most of the time it is. I have recently had my gallbladder removed and I have trouble on top of the IBS if I eat any fatty foods. The Imodium recipe worked very well when I went to visit my daughter in San Francisco.eval(ez_write_tag([[336,280],'ibstales_com-medrectangle-4','ezslot_3']));E-mail Janice:[email protected]",P,coffee,email,place,toilet,tablet,tablet,pill,antidote,fatty,food
17,"I saw 10 different types of doctors who could not tell me why I got sick every time I ate. I suffer severe intestinal cramping to the point where my body would shake and I feel as though I am going to lose consciousness or throw up. Of course diarrhea is to follow until my body works whatever the agitator was out of my system.After years of excruciating pain, I was finally diagnosed with IBS and told to avoid certain foods. My life changed drastically! I now especially avoid milk (I'm also lactose intolerant), alcohol, and caffeine - the worst offenders. Citric acid kills me, so I watch for soda, lemons, limes, oranges, and tomato (especially sauces). Sugar and greasy (fast) foods are bad too. Pretty much everything, so I read labels before I eat it!eval(ez_write_tag([[580,400],'ibstales_com-box-4','ezslot_1']));I am able to eat all these foods in moderation. If I feel off at all, I don't risk it. If I drank a soda earlier, I don't dare eat any of the other items later. I only get attacks when I decide to risk it, and I am always sorry.I also have tried two prescriptions for the cramping. Dicyclomine is a miracle drug. It kills the cramps in no less than 30 minutes. You can take it preventively too. The downside is that it makes me drowsy, so if I need to function, I only take 1/2. Hyoscyamine is less tranquilizing, but it doesn't work as well - still better than nothing. I am pregnant so I can't take either. Mint or raspberry teas are good for the tummy - but don't get rid of the cramps. Good luck!",N,food,body,cramp,citric acid,sauce,orange,sugar,attack,attack,attack
18,"I want to express my gratitude for this website, as without the advice I found here I would still be suffering! I too have had IBS for many years, but with symptoms that were somewhat off and on and not that life-altering.I moved to Germany five years ago, and four years ago I started having diarrhea every morning. I had the usual tests, and my doctor did not find anything wrong. After a course of antibiotics last fall my diarrhea got so bad that I started doing the rounds of GI doctors, as I was pretty much tied to the toilet. I tried medications to normalize the intestinal flora, and other medications that were prescribed with no lasting results.Out of total desperation and after reading about Digestive Advantage IBS on this website, I asked my mother to send me a couple of months of this medication. I was no better until day 13 when the diarrhea stopped, all urgency stopped, all of the inflamed feeling stopped, and I've been normal ever since. I thought I had a totally hopeless case, but the solution turned out to be so uncomplicated, other than the fact that I have to still have it sent to me from the States. Thanks to all those on this site who suggested Digestive Advantage. It has restored my gut and my life back to normal.E-mail Susan:[email protected]",NEU,medication,website,doctor,doctor,email,exam,course,antibiotic,toilet,flora
19,"Hey, I wanted to thank you for your site! I spent a lot of time looking through the information on the site and thought that I should give the calcium a try. I am flat broke right now, but I had a bottle of Extra Strength Tums on hand and those are calcium carbonate, so I started taking that, four of them a day, which is twice the standard dosage.Since then, I have had one bowel movement a day, and it's been normal. No pain. No liquid squirting. No embarrassment. I'd recommend the calcium carbonate to anybody with the diarrhea form of IBS. It's sure as heck cheap enough that trying it won't break the bank, anyways. I will stick with Tums because they're cheap, and I actually like the flavor of the tropical fruits ones.E-mail address:[email protected]",P,calcium,carbonate,email,tropical fruit,bottle,pain,liquid,bank,bank,
20,"I have suffered with IBS for about 20 years off and on. Diarrhea all the time. Since giving birth in 1999 it has gotten worse. I have tried different things that never seemed to work. I even tried calcium for a while. I was taking one in the morning and one at night. I didn't take it right after my meals. I found it was not helping.eval(ez_write_tag([[300,250],'ibstales_com-medrectangle-3','ezslot_2']));Then I got really desperate and decided to try again. I started taking one right after each meal and it worked! I couldn't believe it. I actually got constipated so much that I had to cut the dose down to half after breakfast and half after lunch and then one after supper. This has really worked for me. I haven't had a stomach ache since I started taking the calcium. I had stomach aches every day!eval(ez_write_tag([[300,250],'ibstales_com-medrectangle-4','ezslot_6']));I haven't had diarrhea but one time. I think I had too much wine the night before. I still get scared to go out with people but so far so good. I 
have been taking calcium for two months now. This is just my story, I hope it helps.",N,calcium,meal,stomach,birth,lunch,dinner,dinner,wine,people,tale
